# element, slope, slope_errp, slope_errm, intercept, intercept_errp, intercept_errm, jitter, jitter_errp, jitter_errm
MnI,-0.0003975583036325519,0.0010663824274201052,0.0010827948235952725,-0.021820235933531818,0.006330735452359274,0.0061701431994793075,0.02394896384460112,0.0023279210598143862,0.0019025009127571213
CoI,0.009868012834448214,0.0009945645552387524,0.0011541868408684527,-0.05449163472374913,0.006692541480731319,0.006348282870776219,0.022610776915811107,0.0021567872308481117,0.001849588605407293
NiI,0.007003987869298931,0.0008296604963128514,0.0008549061765781626,-0.05010186252438877,0.004945394208292923,0.004955644711277435,0.017303689634837572,0.0016527583093548515,0.0015018619952724688
CuI,0.017014981256950824,0.0016083066116762829,0.0014510672577545559,-0.09379837055166113,0.008906823236443484,0.010372339657195598,0.026005429322326527,0.002811192716781763,0.0025917545811053877
ZnI,0.01547260114502705,0.0015586526077843183,0.0015875299417780278,-0.08884850468264115,0.009404066951909526,0.009492839899667108,0.03301154161979014,0.0033202545833443953,0.0030378384119740254
SrI,-0.024261184455260182,0.0023573780228902837,0.002534542842515884,0.12803651361082216,0.014922337925552448,0.01455111926205814,0.053943446510911756,0.005232126347488819,0.004155407163293212
YII,-0.02305900431921966,0.0020727840665905398,0.0019467498534818418,0.11081241653959728,0.012112342999275827,0.011977191692336991,0.043956390246371456,0.004398643022125226,0.003766664314686974
ZrII,-0.020235744299959037,0.00194327404469408,0.0020021550145248625,0.11230015277597426,0.011428991571372754,0.010967173633762012,0.040635997601278194,0.003981713689470201,0.003426966143575294
BaII,-0.028308765317234804,0.001558885462155539,0.0015360555954616884,0.17796518208369666,0.009982514926433983,0.009093748234221571,0.0328151332332492,0.003359593400840799,0.0031748632762584883
LaII,-0.017908659809221048,0.0020807705638483665,0.0019307698237296805,0.1230598700579511,0.012230628483738112,0.011683829358960993,0.04084826761736189,0.004753647443246578,0.004068442481433898
CeII,-0.01825830776562728,0.0015448727895798035,0.0016152242242765957,0.13682864702010014,0.009983458385017768,0.009324750778572866,0.03385435477159434,0.0036095400789293297,0.0033851829244306852
PrII,-0.0054960359208152355,0.0020851901772869275,0.0020453948947953063,0.13697760850226723,0.011914398686459882,0.012686537161589337,0.04825584943908938,0.0051993275789603555,0.0043609968471916005
NdII,-0.014917853579680762,0.0019036505624920163,0.001874719225154569,0.13574179556227936,0.01133111344532356,0.011193997630144337,0.041655769290283834,0.003991969030951337,0.003471550854210692
SmII,-0.0018476303536627658,0.0017181862663467628,0.0017666476342264848,0.045641105655891925,0.011050476408499606,0.010505999620417858,0.03329248552395369,0.0038613650580689995,0.0031767081406501863
EuII,-0.0005379639295555722,0.0017370932335685793,0.0017105760329550867,0.07341744581351384,0.010229035134335096,0.009818723494891698,0.03722971248924641,0.0038530676641175265,0.0031125390271926623
GdII,0.00020246078006067202,0.0016872840623627836,0.001830360129629463,0.037822345588016996,0.009951843408225622,0.010413652537363774,0.03978881247311997,0.00375754223950997,0.003735085436276986
DyII,-0.00018066214597417264,0.002106348290989684,0.00235766262064216,0.05416741886470789,0.013630596133290082,0.014352208070763095,0.043263319626292894,0.004815288746923496,0.004127984979162225
